checkpoint_id,family_key,share_code,upload_info_id,known_at,effective_date,trigger_type,is_critical,source_document,generation_rule_version,normalization_version,manifest_revision,supersedes_checkpoint_id,revision_reason,disposition,decision_method,evidence_raw,evidence_normalized,evidence_location,clause_sha256,predecessor_checkpoint_id,fund_type,equity_min_pct,equity_max_pct,parser_version,reviewer_version,failure_reason,primary_root_cause,root_cause_evidence,secondary_flags,stratum_status,stratum_era,alias_codes,synthetic_checkpoint,exact_metadata_match,family_metadata_document_count,relevant_candidate_count,pre_checkpoint_candidate_count,pre_checkpoint_parsed_clause_count,first_candidate_document,first_candidate_known_at,trace_status,official_absence_established,current_section_status,report_code,report_name,current_section_error,current_parser_status,current_parser_reason,current_clause
d5e9c26c536b2774c09f36b781133ccc264942bb9ebc3e65beaf554a3c15bf8c,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850688,TERMINAL_STATE:850688:UNKNOWN,,,TERMINAL_STATE,True,fund_master:850688,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,LIFECYCLE_EVIDENCE_JOIN_NOT_IMPLEMENTED,Synthetic upload id has no matching official upload; adjudicate_checkpoints joins only exact upload_info_id,NO_PRE_CHECKPOINT_CANDIDATE_IN_LOCAL_METADATA,清盘,2020_2026,,True,False,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,,,,,,,
45a5e2e71b2ddadfd0d65531834776e18870756abef50597449bc41bdf56e711,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850006,606560,2021-07-21,,SECTION_UNCOMPARABLE,True,850006_606560.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,2020_2026,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FA010080,海通红利优选一年持有期混合型集合资产管理计划基金产品资料概要更新,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
5e1d0fde34746c7f2b45686ce75065ad18e0b9a9a8e5f2a0756d61f7e4489c2e,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850006,606558,2021-07-21,,SECTION_UNCOMPARABLE,True,850006_606558.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,2020_2026,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FA010080,海通红利优选一年持有期混合型集合资产管理计划基金产品资料概要更新,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
b877bbec68c0f6da084294928412c6cd0691df11072c3a2439e1396b0828efdc,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850006,606559,2021-07-21,,SECTION_UNCOMPARABLE,True,850006_606559.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,2020_2026,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FA010080,海通红利优选一年持有期混合型集合资产管理计划基金产品资料概要更新,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
e89d4548fb49e14dd026733f81f86e120b87e71779ea15b2b07f03bf8844f8b7,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850006,606563,2021-07-21,,SECTION_UNCOMPARABLE,True,850006_606563.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,2020_2026,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FA020010,海通红利优选一年持有期混合型集合资产管理计划基金合同,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
fd371d4c10829b13fc7bb0698dd222ef73bbbe3bae6df507c0f3d0a3b3fed5ca,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850006,606562,2021-07-21,,SECTION_UNCOMPARABLE,True,850006_606562.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,2020_2026,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FA010010,海通红利优选一年持有期混合型集合资产管理计划招募说明书,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
65bbc994ec00bb990156fffc2122715eabe543e09edf52a3a47f0d359d66efee,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850688,INCEPTION:850688:2021-07-27,2021-07-27,2021-07-27,INCEPTION,True,fund_master:850688,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,LIFECYCLE_EVIDENCE_JOIN_NOT_IMPLEMENTED,Synthetic upload id has no matching official upload; adjudicate_checkpoints joins only exact upload_info_id,NO_PRE_CHECKPOINT_CANDIDATE_IN_LOCAL_METADATA,清盘,2020_2026,,True,False,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,,,,,,,
0ce229c12b70738986142fe9871553cef8b806b418051f40868aea4b2b0caf1d,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850006,678107,2021-12-30,,SECTION_UNCOMPARABLE,True,850006_678107.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,2020_2026,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FA010080,海通红利优选一年持有期混合型集合资产管理计划产品资料概要更新,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
0ee730338fa3c692903f11450157c614415ff178a91f82a135701fe6565a2fdd,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850006,678069,2021-12-30,,SECTION_UNCOMPARABLE,True,850006_678069.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,2020_2026,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FA010030,海通红利优选一年持有期混合型集合资产管理计划招募说明书更新,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
42615aa7e3b8e5c940f4803927fb7ba4e94bf7ac772065c87bbe483bc5f760a7,上海海通证券资产管理有限公司|海通红利优选一年持有期混合-,850006,678111,2021-12-30,,SECTION_UNCOMPARABLE,True,850006_678111.pdf,2,1,1,,,UNRESOLVED,,,,,,,,,,,,SECTION_EXTRACTION_FAILED,UNDETERMINED_SECTION_VS_SEMANTICS,Combined extractor/parser reported no equity constraint; cache lacks full section/text diagnostics,ADJUDICATION_INPUT_HAS_NO_CLAUSE,清盘,2020_2026,,False,True,0,0,0,0,,,LOCAL_AUTOMATED_TRACE;LEGAL_HUMAN_REVIEW_PENDING,False,failure,FA010080,海通红利优选一年持有期混合型集合资产管理计划产品资料概要更新,No explicit equity allocation constraint found,failure,No explicit equity allocation constraint found,
